STN--- WBAN   YEARMODA    TEMP       DEWP      SLP        STP       VISIB      WDSP     MXSPD   GUST    MAX     MIN   PRCP   SNDP   FRSHTT 
725955 24259  19500525    67.9 24    28.7 24  1016.3 24   924.4 24   37.3 24    7.7 24   14.0  999.9    84.0*   50.0*  0.00I 999.9  000000 
725955 24259  19500526    67.6 24    30.7 24  1015.2 24   923.4 24   39.4 24    3.7 24    8.9  999.9    88.0*   44.1*  0.00I 999.9  000000 
725955 24259  19500527    66.3 24    35.3 24  1015.6 24   923.9 24   37.5 24    8.3 24   24.1  999.9    88.0*   46.9*  0.00I 999.9  000000 
725955 24259  19500528    57.4 24    27.6 24  1018.0 24   925.3 24   44.3 24    9.3 24   21.0  999.9    75.9*   41.0*  0.00I 999.9  000000 
725955 24259  19500529    64.3 24    32.6 23  1020.8 24   928.2 24   42.3 24    6.6 24   17.1  999.9    84.9*   45.0*  0.00I 999.9  000000 
725955 24259  19500530    70.1 24    43.6 24  1020.0 24   928.0 24   39.8 24    5.8 24   15.9  999.9    91.0*   48.0*  0.00I 999.9  000000 
725955 24259  19500531    73.9 24    35.1 24  1016.5 24   925.2 24   42.3 24    9.5 24   15.0  999.9    90.0*   57.9*  0.00I 999.9  000000 
725955 24259  19500601    74.6 24    34.9 24  1012.7 24   921.8 24   42.7 24   11.2 24   19.0  999.9    89.1*   55.0*  0.00I 999.9  000000 
725955 24259  19500602    69.8 24    25.4 24  1012.9 24   921.7 24   43.5 24    8.9 24   17.1  999.9    86.0*   55.9*  0.00I 999.9  000000 
725955 24259  19500603    71.2 24    20.5 24  1014.9 24   923.5 24   46.8 24    5.9 24   15.9  999.9    88.0*   48.9*  0.00I 999.9  000000 
725955 24259  19500604    70.9 24    29.1 24  1014.9 24   923.5 24   46.0 24    2.6 24   10.1  999.9    89.1*   46.9*  0.00I 999.9  000000 
725955 24259  19500605    69.1 24    35.4 24  1011.9 24   920.8 24   46.4 24    6.6 24   13.0  999.9    91.0*   48.0*  0.00I 999.9  000000 
725955 24259  19500606    53.0 24    32.0 24  1007.9 24   916.1 24   31.7 24   13.7 24   24.1  999.9    78.1*   41.0* 99.99  999.9  010000 
725955 24259  19500607    45.3 24    33.7 24  1015.9 24   922.0 24   24.9 24    3.8 24   15.0  999.9    59.0*   39.0* 99.99  999.9  010000 
725955 24259  19500608    51.9 24    31.7 24  1021.1 24   927.4 24   38.1 24    4.2 24   14.0  999.9    72.0*   34.0*  0.00I 999.9  000000 
725955 24259  19500609    61.8 24    34.6 24  1015.2 24   922.7 24   38.9 24    7.6 24   19.0  999.9    71.1*   48.9*  0.00I 999.9  000000 
725955 24259  19500610    59.4 24    41.8 24  1011.6 24   919.5 24   24.4 24    9.2 24   22.0  999.9    70.0*   51.1* 99.99  999.9  010000 
725955 24259  19500611    55.4 24    42.8 24  1011.2 24   919.1 24   21.3 24    7.1 24   19.0  999.9    68.0*   42.1* 99.99  999.9  010000 
725955 24259  19500612    52.3 24    44.4 24  1017.2 24   924.0 24   17.8 24    4.1 24   17.1  999.9    64.0*   46.9* 99.99  999.9  010000 
725955 24259  19500613    58.2 24    41.1 24  1015.0 24   922.4 24   32.5 24    6.0 24   12.0  999.9    72.0*   50.0* 99.99  999.9  010000 
725955 24259  19500614    62.7 24    44.1 24  1012.0 24   920.2 24   24.9 24    6.0 24   11.1  999.9    75.9*   48.0*  0.00I 999.9  000000 
725955 24259  19500615    62.7 24    42.2 24  1011.4 24   919.6 24   26.7 24    5.6 24   18.1  999.9    79.0*   43.0*  0.00I 999.9  000000 
725955 24259  19500616    60.6 24    50.8 24  1011.0 24   919.1 24   19.1 24    5.1 24   12.0  999.9    73.9*   54.0* 99.99  999.9  010010 
725955 24259  19500617    59.3 24    49.5 24  1013.4 24   921.1 24   12.7 24    3.5 24    8.9  999.9    75.9*   48.0* 99.99  999.9  110000 
725955 24259  19500618    64.5 24    46.4 24  1014.1 24   922.0 24   28.2 24    3.7 24    8.0  999.9    81.0*   50.0* 99.99  999.9  010000 
725955 24259  19500619    70.2 24    46.2 24  1012.6 24   921.2 24   34.6 24    5.5 24   13.0  999.9    87.1*   53.1*  0.00I 999.9  000000 
725955 24259  19500620    72.4 24    50.8 24  1009.9 24   919.1 24   25.5 24    7.8 24   17.1  999.9    88.0*   57.9*  0.00I 999.9  000000 
725955 24259  19500621    63.0 24    47.5 24  1012.3 24   920.5 24   30.4 24   10.7 24   22.9  999.9    75.9*   52.0* 99.99  999.9  010010 
725955 24259  19500622    61.2 24    31.9 24  1013.2 24   921.2 24   38.1 24    8.3 24   19.0  999.9    79.0*   42.1*  0.00I 999.9  000000 
725955 24259  19500623    59.4 24    36.5 24  1008.3 24   916.7 24   37.9 24   10.5 24   21.0  999.9    77.0*   48.9*  0.00I 999.9  000000 
725955 24259  19500624    50.9 24    37.3 24  1014.2 24   921.2 24   21.8 24    5.9 24   13.0  999.9    66.0*   44.1* 99.99  999.9  010000 
